档位,买入触发价,买入价,买入金额,入股数,卖出触发价,卖出价,出股数,卖出金额,买入是否成交
1.000,0.865,0.860,2580.000,3000,0.915,0.920,2700,2484.000,1
0.930,0.805,0.800,2720.000,3400,0.855,0.860,3100,2666.000,1
0.860,0.745,0.740,2886.000,3900,0.795,0.800,3500,2800.000,1
0.790,0.684,0.679,3055.500,4500,0.735,0.740,3600,2664.000,1
0.670,0.581,0.576,3340.800,5800,0.674,0.679,3900,2648.100,1
