档位,买入触发价,买入价,买入金额,入股数,卖出触发价,卖出价,出股数,卖出金额,买入是否成交
1.000,1.365,1.460,2482.000,1700,1.528,1.533,1600,2452.7999999999997,1
0.950,1.392,1.387,2635.300,1900,1.455,1.46,1700,2482.0,1
0.900,1.319,1.314,2759.400,2100,1.382,1.387,1800,2496.6,1
0.850,1.246,1.241,2978.400,2400,1.309,1.314,1800,2365.2000000000003,1
0.800,1.173,1.168,3036.800,2600,1.236,1.241,1900,2357.9,1
0.740,1.090,1.085,3146.500,2900,1.163,1.168,2200,2569.6,1
0.670,0.983,0.978,3520.800,3600,None,None,None,None,0
