档位,买入触发价,买入价,买入金额,入股数,卖出触发价,卖出价,出股数,卖出金额,买入是否成交
1.000,0.953,0.950,2565.000,2700,0.993,0.998,2400,2395.2,1
0.950,0.905,0.903,2618.700,2900,0.945,0.95,2500,2375.0,1
0.900,0.858,0.855,2736.000,3200,0.898,0.903,2800,2528.4,1
0.840,0.803,0.798,2952.600,3700,0.85,0.855,3000,2565.0,1
0.760,0.728,0.723,3108.900,4300,0.793,0.798,3500,2793.0,1
0.670,0.642,0.637,3376.100,5300,None,None,None,None,0
