档位,买入触发价,买入价,买入金额,入股数,卖出触发价,卖出价,出股数,卖出金额,买入是否成交
1.000,1.035,1.030,2575.000,2500,1.128,1.133,2200,2492.6,1
0.900,0.932,0.927,2781.000,3000,1.025,1.03,2400,2472.0,1
0.740,0.767,0.762,3200.400,4200,None,None,None,None,0
