档位,买入触发价,买入价,买入金额,入股数,卖出触发价,卖出价,出股数,卖出金额,买入是否成交
0.700,0.670,0.665,3258.500,4900,0.708,0.713,3900,2780.7,1
0.650,0.623,0.618,3399.000,5500,0.66,0.665,3700,2460.5,1
0.600,0.575,0.570,3534.000,6200,0.613,0.618,3900,2410.2,1
0.520,0.499,0.494,3705.000,7500,None,None,None,None,0
