档位,买入触发价,买入价,买入金额,入股数,卖出触发价,卖出价,出股数,卖出金额
1.00,,,,,,,,
0.9,,,,,,,,
0.8,,,,,,,,
0.8,,,,,,,,
0.7,,,,,,,,
0.6,,,,,,,,
