档位,买入触发价,买入价,买入金额,入股数,卖出触发价,卖出价,出股数,卖出金额
0.7,0.670,0.665,12968,19500,0.708,0.713,15400,10980
0.65,0.623,0.618,13472,21800,0.66,0.665,14700,9776
0.6,0.575,0.57,14022,24600,0.613,0.618,15400,9517
0.52,0.499,0.494,14820,30000,None,None,None,None
