档位,买入触发价,买入价,买入金额,入股数,卖出触发价,卖出价,出股数,卖出金额,买入是否成交
1.00,0.865,0.86,10062,11700,0.915,0.92,10500,9660,1
0.93,0.805,0.8,10720,13400,0.855,0.86,12200,10492,1
0.86,0.745,0.74,11396,15400,0.795,0.8,13700,10960,1
0.79,0.684,0.679,12086,17800,0.735,0.74,14200,10508,1
0.67,0.581,0.576,13306,23100,0.674,0.679,15500,10525,1
