档位,买入触发价,买入价,买入金额,入股数,卖出触发价,卖出价,出股数,卖出金额
1.00,1.365,1.460,9928,6800,1.528,1.533,6100,None
0.95,1.392,1.387,10541,7600,1.455,1.460,6800,None
0.90,1.319,1.314,10906,8300,1.382,1.387,7200,9986
0.85,1.246,1.241,11541,9300,1.309,1.314,7200,9461
0.80,1.173,1.168,12030,10300,1.236,1.241,7500,9308
0.74,1.090,1.085,12586,11600,1.163,1.168,8600,10045
0.67,0.983,0.978,13985,14300,None,None,None,None
